oid,id_samhsa_ftloc,id_dbhids_tad,id_ba_tad,id_samhsa_otp,id_hfp_fqhc,id_other_srcs,map_marker,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,archival_only,why_hidden,data_review,date_update
121,100087,,,,,,samhsa_else,Seabrook,Cherry Hill Outpatient Recovery,,https://www.seabrook.org/,,856-663-0010,856-455-7575 x1515,,1930 Marlton Pike East,,Cherry Hill,NJ,08003,39.90233099,-74.96348299,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
122,100093,,,100130,,100056,samhsa_otp,Southeastern Pennsylvania Comprehensive Treatment Centers,Huntingdon Valley CTC,,https://www.sepennctc.com/location/huntingdon-valley/,,855-613-6098,,,2755 Philmont Avenue,,Huntingdon Valley,PA,19006,40.121653,-75.04771399,Yes,No,Yes,Yes,Yes,,,,False,False,,,,False,,,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,False,,[_] OTP at this address has changed its name and affiliation; this listing provides more recent website and phone than SAMHSA,
123,100088,,,100112,,,samhsa_otp,Crozer Health,Community Campus,,https://www.crozerhealth.org/community,https://www.crozerhealth.org/behavioral-health,610-619-8600,610-619-7370,,301 West 15th Street,,Chester,PA,19013,39.85797277,-75.36595165,Yes,Yes,Yes,Yes,Yes,,,,False,False,,,,,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,False,,,
124,100099,,,100149,,100079,samhsa_otp,Montgomery County Recovery Center,,,https://www.rhd.org/program/montgomery-county-recovery-center/,,610-272-3710 x201,610-272-3710 x204,,316 DeKalb Street,,Norristown,PA,19401,40.11403397,-75.34205343,No,Yes,Yes,Yes,Yes,,,,False,False,,,,False,,,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,False,,,
125,100054,,,100136,,,samhsa_otp,SOAR Corp,Recovery Center (Lansdowne Program),,https://www.soarcorp.org/,https://www.soarcorp.org/hours-of-operation,610-622-1114,866-616-4450,215-464-4450,33 Williams Street,,Lansdowne,PA,19050,39.94021798,-75.255351,Yes,No,Yes,Yes,Yes,,,,False,False,,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,False,,,
126,100079,,,,,,samhsa_else,Penn Medicine Princeton House,Behavioral Health/Moorestown,,https://www.princetonhcs.org/care-services/princeton-house-behavioral-health,,856-779-2300,888-437-1610 (admissions),,351 New Albany Road,,Moorestown,NJ,08057,39.96708802,-74.97269897,No,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,False,,,
127,100074,,,,,,samhsa_else,My Friend's House,,,https://www.mfhrecovery.com/,,856-669-6900,856-669-6901,877-215-1880,371 Glassboro Road,,Woodbury Heights,NJ,08097,39.82262701,-75.15087996,Yes,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
128,100094,,,,,,samhsa_else,Key Recovery Outpatient Services,,,https://keystonecenter.net/,,484-490-1060,,,5000 Hilltop Drive,,Brookhaven,PA,19015,39.88096501,-75.39629698,Yes,No,No,No,Yes,,,,False,,,,,,,,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,False,,,
129,100037,,,,,,samhsa_else,Camden Treatment Associates,,,https://camdentreatment.com/,,856-338-1811,,,508 Atlantic Avenue,,Camden,NJ,08104,39.92843001,-75.11845197,No,No,Yes,Yes,Yes,,,,False,,,,,,,,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,False,,,
130,100096,,,,,,samhsa_else,Recovery at the Crossroads LLC,,,https://www.racnj.com/,,609-570-2525,,,509 NJ-Route 168,,Blackwood,NJ,08012,39.77236354,-75.05120608,No,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,False,,,
131,100071,,,,,,samhsa_else,Rehab After Work,Havertown Falcon Center,,https://rehabafterwork.pyramidhealthcarepa.com/locations/pennsylvania/havertown/,,888-694-9996,,,525 West Chester Pike,Suite 205,Havertown,PA,19083,39.97116598,-75.30641003,No,No,No,No,Unclear,,,,False,,,,,,,,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
132,100086,,,,,100080,samhsa_else,Recovery Centers of America,Lighthouse Voorhees Outpatient,,http://recoverycentersofamerica.com/locations/lighthouse/outpatient/,,856-559-2190,844-242-7956,,526 South Burnt Mill Road,,Voorhees,NJ,08043,39.84752398,-75.005939,No,Yes,No,No,Yes,,,,False,,,,,False,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,False,,,
133,100092,,,,,100081,samhsa_else,Livengrin Counseling Center,,,https://livengrin.org/,,215-638-5200,866-753-9097,,550 Pinetown Road,Suite 150,Fort Washington,PA,19034,40.14099998,-75.194835,No,Yes,No,No,Yes,,,,False,,,,,False,,,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
134,100076,,,,,,samhsa_else,Main Line Health,Mirmont Outpatient Center,,https://www.mainlinehealth.org/locations/mirmont-outpatient-center-broomall,,484-476-1800,888-227-3898,,600 Abbott Drive,,Broomall,PA,19008,39.96054402,-75.337497,Yes,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,False,,,
135,100061,,,,,,samhsa_else,Recovery Village Cherry Hill at Cooper,,,https://www.southjerseyrecovery.com/,,305-785-5520,,,761 Cuthbert Boulevard,,Cherry Hill,NJ,08002,39.93066899,-75.05479402,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
136,100052,,,,,100082,samhsa_else,Delaware Valley Medical,,,https://pinnacletreatment.com/location/new-jersey/pennsauken/delaware-valley-medical/,,856-665-5100 x1410,856-665-5100,,7980 South Crescent Boulevard,Route 130,Pennsauken,NJ,08109,39.92947402,-75.082979,Yes,No,Yes,Yes,Yes,,,,False,,,,,False,,,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,False,,,
137,100078,,,,,,samhsa_else,RHD,Lower Merion Counseling & Mobile Services,,https://www.rhd.org/lmcms/,,610-520-1510,610-520-1510 x184,,850 West Lancaster Avenue,2nd Floor,Bryn Mawr,PA,19010,40.02206899,-75.32016599,No,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,False,,,
138,100068,,,,,,samhsa_else,Harwood House,,,https://www.harwoodhouse.us/,,610-853-3440,,,9200 West Chester Pike,,Upper Darby,PA,19082,39.967876,-75.29247696,No,Yes,No,No,Yes,,,Men only,False,,,,,,,,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,False,,,
139,100091,,,,,100083,samhsa_else,Crozer Health,First Steps Treatment Center,,https://www.crozerhealth.org/locations/practices/f/first-steps-treatment-center/,,877-257-8377,610-619-8817,610-619-8813,One Medical Center Boulevard,,Chester,PA,19013,39.85601598,-75.36816899,Yes,Yes,Yes,Yes,Yes,,,,False,,,,,False,,,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,False,,,
140,,,,,100001,100133,tbd_unclear,City of Philadelphia Public Health,"Ambulatory Health Services, Main Admin Office",,https://www.phila.gov/departments/department-of-public-health/,,215-685-4758,,,1101 Market Street,8th Floor,Philadelphia,PA,19107,39.95213399,-75.15845301,,,,,Unclear,,,,,,,,False,False,Yes,,,,,,,,,,,,,,,,,,,,,,True,Not a practice site,,
141,,,,,100002,100084,fqhc_else,City of Philadelphia Public Health,District Health Center #2,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-1803,215-685-1810,,1700 South Broad Street,Unit 201,Philadelphia,PA,19145,39.92895099,-75.16937103,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
142,,,,,100003,100085,fqhc_else,City of Philadelphia Public Health,District Health Center #3,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-7504,215-685-7522,,555 South 43rd Street,,Philadelphia,PA,19104,39.94894501,-75.208971,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
143,,,,,100004,100086,fqhc_else,City of Philadelphia Public Health,District Health Center #4,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-7601,215-685-7630,,4400 Haverford Avenue,,Philadelphia,PA,19104,39.96252819,-75.21063116,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
144,,,,,100005,100087,fqhc_else,City of Philadelphia Public Health,District Health Center #5,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-2933,215-685-2973,,1900 North 20th Street,,Philadelphia,PA,19121,39.98317901,-75.16692997,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
145,,,,,100006,100088,fqhc_else,City of Philadelphia Public Health,District Health Center #6,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-3800,215-685-3803,,321 West Girard Avenue,,Philadelphia,PA,19123,39.96991853,-75.14227521,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
146,,,,,100007,100089,fqhc_else,City of Philadelphia Public Health,District Health Center #9,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-5701,215-685-5747,,131 East Chelten Avenue,,Philadelphia,PA,19144,40.0379496,-75.17267458,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
147,,,,,100008,100090,fqhc_else,City of Philadelphia Public Health,District Health Center #10,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-0639,,,2230 Cottman Avenue,,Philadelphia,PA,19149,40.04814199,-75.06149401,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
148,,,,,,100132,tbd_unclear,City of Philadelphia Public Health,Temporary Site - Health Center 10 Annex,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-6769,,,2248 Cottman Avenue,,Philadelphia,PA,19149,40.04774699,-75.06070703,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
149,,,,,100009,100091,fqhc_else,City of Philadelphia Public Health,Strawberry Mansion Health Center,,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-2400,215-685-2411,,2840 West Dauphin Street,,Philadelphia,PA,19132,39.99084383,-75.17931232,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
150,,,,,"[100019,100020]",100134,tbd_unclear,DVCH,Fairmount Primary Care Center,,https://dvch.org/fairmount-primary/,,215-235-9600,,,1412 Fairmount Avenue,2nd Floor,Philadelphia,PA,19130,39.96682399,-75.16141199,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
151,,,,,100012,100092,fqhc_else,DVCH,Fairmount Primary Care Center at Girard Medical Center,,https://dvch.org/fairmount-primary-girard/,,215-827-8010,215-235-9600,,801 West Girard Avenue,,Philadelphia,PA,19122,39.97137201,-75.14977598,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
152,,,,,100013,100136,tbd_unclear,DVCH,Fairmount Primary Care Center at Horizon House,,https://dvch.org/fairmount-primary-horizon-house/,,215-222-2466,,,5901 Market Street,,Philadelphia,PA,19139,39.96207099,-75.23911902,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,"Compare oid 227 at 120 South 30th St, 19104 (matches website here: https://dvch.org/fairmount-primary-horizon-house/ but not here: https://dvch.org/contact-dvch/) | See oid 213 for Horizon House website",
153,,,,,100015,100093,fqhc_else,DVCH,Maria de los Santos Health Center,,https://dvch.org/maria-de-los-santos-health-center/,,215-291-2500,,,401 West Allegheny Avenue,,Philadelphia,PA,19133,39.99992798,-75.13683701,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
154,,,,,100016,100135,tbd_unclear,DVCH,Maria de los Santos Women's Health Center,,https://dvch.org/maria-de-los-santos-womens-health/,,215-207-0522,215-291-2500,,400 West Allegheny Avenue,Unit B-5,Philadelphia,PA,19133,39.999249,-75.136477,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
155,,,,,100017,100138,tbd_unclear,DVCH,Norristown Regional Health Center,,https://dvch.org/norristown-regional-health/,,610-278-7787,,,1401 DeKalb Street,,Norristown,PA,19401,40.12375698,-75.33382104,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
156,,,,,100018,100137,tbd_unclear,DVCH,Parkview Health Center,,https://dvch.org/parkview-health-center/,,215-537-7695,,,841 East Hunting Park Avenue,2nd Floor,Philadelphia,PA,19124,40.012076,-75.11035204,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
157,,,,,"[100024,100025]",100094,fqhc_else,Esperanza,Hunting Park Site,and Main Admin Office,https://esperanzahealth.com/,,215-302-3600,215-302-3150 (office),,4417 North 6th Street,,Philadelphia,PA,19140,40.01893298,-75.13652897,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
158,,,,,100021,100095,fqhc_else,Esperanza,Kensington Site,,https://esperanzahealth.com/,,215-302-3600,215-831-1100,,861 East Allegheny Avenue,,Philadelphia,PA,19134,39.99678799,-75.11348201,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
159,,,,,100022,100140,tbd_unclear,Esperanza,Fifth Street Site,,https://esperanzahealth.com/,,215-302-3600,215-221-6633,,2940 North 5th Street,,Philadelphia,PA,19133,39.99616501,-75.13955098,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
160,,,,,100023,100139,other_mat,Esperanza,Kensington & Allegheny,,https://esperanzahealth.com/,,215-831-1100,215-302-3600,,3156 Kensington Avenue,,Philadelphia,PA,19134,39.99630201,-75.11431902,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,,,,,,,,,,,,,,,,,,,,,True,Site closed,,
161,,,,,"[100030,100032]",100096,fqhc_else,FPCN / RHD,Abbotsford-Falls Health Center,and Main Admin Office,https://www.fpcn.com/abbottsford-falls/,https://www.rhd.org/program/family-practice-and-counseling-network/,215-843-9720,215-298-0405 (office),,4700 Wissahickon Avenue,"Building D, Suite 118 or 119",Philadelphia,PA,19144,40.01538098,-75.174055,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
162,,,,,100026,100097,fqhc_else,FPCN / RHD,Stephen and Sandra Sheller 11th Street Family Health Services of Drexel University,,https://www.fpcn.com/stephen-and-sandra-sheller-11th-street-family-health-services-of-drexel-university/,https://www.rhd.org/program/family-practice-and-counseling-network/,215-769-1100,,,850 North 11th Street,,Philadelphia,PA,19123,39.96798702,-75.154971,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
163,,,,,100027,100141,tbd_unclear,FPCN / RHD,Fast Family Care at Shoprite,,,https://www.rhd.org/program/family-practice-and-counseling-network/,267-597-3610,267-597-3600,,2800 Fox Street,Unit A,Philadelphia,PA,19129,40.00899401,-75.17463696,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Site closed,,
164,,,,,100028,100098,fqhc_else,FPCN / RHD,Health Annex,,https://www.fpcn.com/health-annex/,https://www.rhd.org/program/family-practice-and-counseling-network/,215-727-4721,,,6120-B Woodland Avenue,2nd Floor,Philadelphia,PA,19143,39.92891474,-75.22948144,Yes,,,,Yes,,,July 2021: closed for renovation but services provided at alternate location (call for details),,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
165,,,,,100029,100114,tbd_unclear,FPCN / RHD,Annex West Health Center,,https://www.fpcn.com/annex-west-health-center/,https://www.rhd.org/program/family-practice-and-counseling-network/,267-350-5150,215-243-2800,,3901 Market Street,,Philadelphia,PA,19104,39.957456,-75.20114599,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
166,,,,,"[100032,100030]",100111,tbd_unclear,GPHA,Carl Moore Health Center,,https://www.gphainc.org/locations/find-a-location-near-you/#carl-moore-health-center,,215-755-7700,215-925-2400,,1401 South 31st Street,,Philadelphia,PA,19146,39.93599099,-75.19505301,Unclear,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
167,,,,,100033,100142,tbd_unclear,GPHA,Chinatown Medical Services,,https://www.gphainc.org/locations/find-a-location-near-you/#chinatown-medical-services,,215-627-8000,215-925-2400,,432 North 6th Street,,Philadelphia,PA,19123,39.95919584,-75.14867377,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
168,,,,,100034,100144,tbd_unclear,GPHA,Frankford Avenue Health Center,,https://www.gphainc.org/locations/find-a-location-near-you/#frankford-avenue-health-center,,215-831-9882,215-744-1302,,4510 Frankford Avenue,,Philadelphia,PA,19124,40.01433899,-75.08635004,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
169,,,,,100035,100108,fqhc_else,GPHA,Dental and Behavioral Healthcare,,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-inc-dental-and-behavioral-healthcare,,215-724-4700,215-925-2400,,5501 Woodland Avenue,,Philadelphia,PA,19143,39.93547898,-75.220807,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
170,,,,,100036,,xx_unlikely,GPHA,Medical Suite at Temple University Kornberg School of Dentistry,,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-inc-medical-suite-at-temple-university-kornberg-school-of-dentistry,,215-226-3789,215-925-2400,,3223 North Broad Street,"1st Floor, Suite 136",Philadelphia,PA,19140,40.00261501,-75.15207296,,,,,No,,,,,,,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,No MAT?,,
171,,,,,100037,100145,tbd_unclear,GPHA,Spectrum Behavioral Services,,https://www.gphainc.org/locations/find-a-location-near-you/#gpha-spectrum-behavioral-services,,484-472-7430,,,1489 Baltimore Pike,"Building 300, Suite 300",Springfield,PA,19064,39.91192701,-75.35832301,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
172,,,,,100038,100099,fqhc_else,GPHA,Hunting Park Health Center,,https://www.gphainc.org/locations/find-a-location-near-you/#hunting-park-health-center,,215-228-9300,,,1999 West Hunting Park Avenue,,Philadelphia,PA,19140,40.01310999,-75.16109197,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
173,,,,,100039,,xx_unlikely,GPHA,Snyder Avenue Dental Center,,https://www.gphainc.org/locations/find-a-location-near-you/#snyder-avenue-dental-center,,215-334-4900,,,640 Snyder Avenue,,Philadelphia,PA,19148,39.92269201,-75.157933,,,,,No,,,,,,,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,No MAT?,,
174,,,,,100040,100109,fqhc_else,GPHA,Southeast Health Center,,https://www.gphainc.org/locations/find-a-location-near-you/#southeast-health-center,,215-339-5100,,,800 Washington Avenue,,Philadelphia,PA,19147,39.93579301,-75.15722004,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
175,,,,,100041,100143,tbd_unclear,GPHA,Woodland Avenue Health Center,,https://www.gphainc.org/locations/find-a-location-near-you/#woodland-avenue-health-center,,215-726-9807,,,5000 Woodland Avenue,,Philadelphia,PA,19143,39.93959399,-75.21394398,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
176,,,,,100042,,tbd_unclear,PHMC,Main Admin Office,,https://www.phmc.org/,,215-985-2500,,,1500 Market Street,Suite 1500,Philadelphia,PA,19102,39.95216002,-75.16622899,,,,,Unclear,,,,,,,,False,,Yes,,,,,,,,,,,,,,,,,,,,,,False,,,
177,,,,,100043,100100,fqhc_else,PHMC,Congreso Health Center,,https://www.phmc.org/site/programs/health-care-centers/congreso-health-center,,267-765-2272,,,412 West Lehigh Avenue,,Philadelphia,PA,19133,39.99159201,-75.139697,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,,,,,,,,,,,,,,,,,,,,,False,,,
178,,,,,100044,100101,fqhc_else,PHMC,Health Connection,,https://www.phmc.org/site/programs/health-care-centers/phmc-health-connection,,215-765-6690,,,1900 North 9th Street,,Philadelphia,PA,19122,39.98117699,-75.14905204,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
179,,,,,100046,100102,fqhc_else,PHMC,Mary Howard Health Center,,https://www.phmc.org/site/programs/health-care-centers/mary-howard,,215-592-4500,,,125 South 9th Street,,Philadelphia,PA,19107,39.94884301,-75.15540099,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
180,,,,,100047,100103,fqhc_else,PHMC,Rising Sun Health Center,,https://www.phmc.org/site/programs/health-care-centers/rising-sun,,215-279-9666,,,5675 North Front Street,,Philadelphia,PA,19120,40.03646801,-75.11935303,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
181,,,,,"[100049,100050]",100104,fqhc_else,Philadelphia FIGHT,Jonathan Lax Treatment Center,and Main Admin Office,https://fight.org/programs/lax-center/,,215-790-1788,215-985-4448 (office),,1233 Locust Street,,Philadelphia,PA,19107,39.94811499,-75.16194299,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
182,,,,,100051,100105,fqhc_else,Philadelphia FIGHT,John Bell Health Center,,https://fight.org/programs/john-bell-center/,,267-725-0252,215-985-4448 (office),,1207 Chestnut Street,,Philadelphia,PA,19107,39.95074,-75.16050499,,Yes,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
183,,,,,100052,100147,tbd_unclear,Philadelphia FIGHT,Broad Street Ministry,Community Health Centers Clinic,https://fight.org/programs/broad-street-ministry/,,215-525-8681,215-985-4448 x54448,,315 South Broad Street,,Philadelphia,PA,19107,39.94635264,-75.16484131,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
184,,,,,,100146,tbd_unclear,Philadelphia Fight,Diana Baldwin Mental Health Clinic,,https://fight.org/programs/diana-baldwin-clinic/,,215-525-8657,215-525-8654,,1211 Chestnut Street,,Philadelphia,PA,19107,39.95076699,-75.16071504,,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
185,,,,,100055,100107,fqhc_else,Project HOME,Hub of Hope,,https://projecthome.org/hub-hope,https://projecthome.org/integrated-medical-behavioral-health-services,215-309-5225,215-320-6187 x3211,,1401 Arch Street,"Lower Level, Suburban Station Concourse",Philadelphia,PA,19102,39.95473498,-75.16362096,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
186,,,,,100056,100112,tbd_unclear,QCHC,Quality Community Family Health Center,,https://qchc.org/facilities-1,,215-227-0300,,,2501 West Lehigh Avenue,,Philadelphia,PA,19132,39.996465,-75.17245004,Unclear,,,,Unclear,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
187,,,,,100057,100149,xx_unlikely,QCHC,Cooke Family Health Center,,https://qchc.org/facilities-1,,215-457-6902,,,1300 West Loudon Street,,Philadelphia,PA,19141,40.02582109,-75.14542426,,,,,No,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
188,,,,,100058,100148,xx_unlikely,QCHC,Meade Family Health Center,,https://qchc.org/facilities-1,,215-765-9501,,,1800 West Oxford Street,,Philadelphia,PA,19121,39.97837002,-75.16492996,,,,,No,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
189,,,,,100059,100113,tbd_unclear,Sayre Health Center,,,https://www.sayrehealth.org/,,215-474-4444,,,5800 Walnut Street,,Philadelphia,PA,19139,39.95798498,-75.23858904,Unclear,,,,Unclear,,,"Call to check location. Website lists new address in header: 227 South 59th Street, 19139, but map & footer still have 5800 Walnut St, 19139.",,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
190,,,,,"[100060,100061]",100106,fqhc_else,"Spectrum Health Services, Inc.",Spectrum Community Health Center (SCHC),and Main Admin Office,https://www.spectrumhs.org/locations/spectrum-community-health-center-schc/,,215-471-2750,215-471-2761,,5201 Haverford Avenue,,Philadelphia,PA,19139,39.96542002,-75.225021,Yes,,,,Yes,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
